q,que,ai_answer,actual_send_answer,kb_ids,new_refer,order_status,refund_status
哪里发货,"[{""role"":""user"",""content"":""哪里发货""}]",亲亲，我们是在山东枣庄发货的哦。,,18,"['问题：""从哪里发货"", 答案：""山东枣庄""', '问题：""你们那里发货从哪发货"", 答案：""亲亲，我们是在山东枣庄发货的哦。""', '问题：""发货地在哪"", 答案：""山东枣庄""', '问题：""从哪里：从哪里发货"", 答案：""山东枣庄发货的亲。""', '问题：""从哪里发货几天到货急用"", 答案：""山东枣庄发货的亲""', '问题：""今发货吗"", 答案：""亲 正在备货""', '问题：""好的发货吧"", 答案：""下单48小时内发货亲""', '问题：""还没发货呀"", 答案：""亲 放置代收点了""']",,
哪里发货,"[{""role"":""user"",""content"":""好的👌🏻""},{""role"":""user"",""content"":""我又重新拍了订单，请尽快安排发货[嘻嘻]""},{""role"":""user"",""content"":""好的""},{""role"":""assistant"",""content"":""好的亲🌹""},{""role"":""user"",""content"":""哪里发货""}]",亲亲，我们是在山东枣庄发货的哦。,亲亲，我们是在山东枣庄发货的哦。,18,"['问题：""从哪里发货"", 答案：""山东枣庄""', '问题：""你们那里发货从哪发货"", 答案：""亲亲，我们是在山东枣庄发货的哦。""', '问题：""发货地在哪"", 答案：""山东枣庄""', '问题：""从哪里：从哪里发货"", 答案：""山东枣庄发货的亲。""', '问题：""从哪里发货几天到货急用"", 答案：""山东枣庄发货的亲""', '问题：""今发货吗"", 答案：""亲 正在备货""', '问题：""好的发货吧"", 答案：""下单48小时内发货亲""', '问题：""还没发货呀"", 答案：""亲 放置代收点了""']",,
哪里发货,"[{""role"":""user"",""content"":""？""},{""role"":""assistant"",""content"":""本身有甜味哈""},{""role"":""user"",""content"":""我已拼单成功，能尽快帮我发货吗？""},{""role"":""assistant"",""content"":""亲亲，下单48小时内发货哦~""},{""role"":""user"",""content"":""我已拼单成功，能尽快帮我发货吗？""},{""role"":""user"",""content"":""哪里发货""},{""role"":""user"",""content"":""哪里发货""}]",,亲亲，我们是在山东枣庄发货的哦。,"18,7","['问题：""从哪里发货"", 答案：""山东枣庄""', '问题：""你们那里发货从哪发货"", 答案：""亲亲，我们是在山东枣庄发货的哦。""', '问题：""发货地在哪"", 答案：""山东枣庄""', '问题：""从哪里：从哪里发货"", 答案：""山东枣庄发货的亲。""', '问题：""从哪里发货几天到货急用"", 答案：""山东枣庄发货的亲""', '问题：""今发货吗"", 答案：""亲 正在备货""', '问题：""发货地"", 答案：""山东省""', '问题：""好的发货吧"", 答案：""下单48小时内发货亲""', '问题：""还没发货呀"", 答案：""亲 放置代收点了""', '问题：""什么时候发货？"", 答案：""亲亲，下单48小时内发货哦~""']",,
哪里发货,"[{""role"":""user"",""content"":""要加糖吗""},{""role"":""assistant"",""content"":""亲亲，这个商品不需要加糖哦，您可以根据自己的口味添加一些糖哦~""},{""role"":""user"",""content"":""？""},{""role"":""assistant"",""content"":""本身有甜味哈""},{""role"":""user"",""content"":""我已拼单成功，能尽快帮我发货吗？""},{""role"":""assistant"",""content"":""亲亲，下单48小时内发货哦~""},{""role"":""user"",""content"":""我已拼单成功，能尽快帮我发货吗？""},{""role"":""user"",""content"":""哪里发货""}]",亲亲，我们是在山东枣庄发货的哦。,,"18,7","['问题：""从哪里发货"", 答案：""山东枣庄""', '问题：""你们那里发货从哪发货"", 答案：""亲亲，我们是在山东枣庄发货的哦。""', '问题：""发货地在哪"", 答案：""山东枣庄""', '问题：""从哪里：从哪里发货"", 答案：""山东枣庄发货的亲。""', '问题：""从哪里发货几天到货急用"", 答案：""山东枣庄发货的亲""', '问题：""今发货吗"", 答案：""亲 正在备货""', '问题：""发货地"", 答案：""山东省""', '问题：""好的发货吧"", 答案：""下单48小时内发货亲""', '问题：""还没发货呀"", 答案：""亲 放置代收点了""', '问题：""什么时候发货？"", 答案：""亲亲，下单48小时内发货哦~""']",,
好评返现吗,"[{""role"":""user"",""content"":""好评返现吗""}]","亲，本店都是薄利多销,没啥利润的,如果您签收后还满意的话，麻烦给个五星评价鼓励一下哦~如果说看到有评价有礼活动，那可能是官方活动，不是本店活动，可以按步骤要求提交试一下哦。","亲，本店都是薄利多销,没啥利润的,如果您签收后还满意的话，麻烦给个五星评价鼓励一下哦~如果说看到有评价有礼活动，那可能是官方活动，不是本店活动，可以按步骤要求提交试一下哦。",18,"['问题：""好评返现吗"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""有好评返现吗"", 答案：""亲，本店都是薄利多销,没啥利润的,如果您签收后还满意的话，麻烦给个五星评价鼓励一下哦~如果说看到有评价有礼活动，那可能是官方活动，不是本店活动，可以按步骤要求提交试一下哦。""', '问题：""好评返现？？"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""好评返现哦"", 答案：""感谢支持""', '问题：""在吗亲好评返现吗"", 答案：""好的亲""', '问题：""货到了好评返现吗"", 答案：""亲，本店都是薄利多销,没啥利润的,如果您签收后还满意的话，麻烦给个五星评价鼓励一下哦~如果说看到有评价有礼活动，那可能是官方活动，不是本店活动，可以按步骤要求提交试一下哦。""', '问题：""好评返现"", 答案：""感谢支持""', '问题：""好评返现"", 答案：""亲，本店都是薄利多销,没啥利润的,如果您签收后还满意的话，麻烦给个五星评价鼓励一下哦~如果说看到有评价有礼活动，那可能是官方活动，不是本店活动，可以按步骤要求提交试一下哦。""']",,
好评返现吗,"[{""role"":""user"",""content"":""我已经拼单成功5小时，能尽快帮我发货吗？""},{""role"":""assistant"",""content"":""亲亲，正常48小时内发货呢。""},{""role"":""assistant"",""content"":""很高兴为您服务，请问有什么可以帮您？""},{""role"":""user"",""content"":""好评返现吗""}]","亲，本店都是薄利多销,没啥利润的,如果您签收后还满意的话，麻烦给个五星评价鼓励一下哦~如果说看到有评价有礼活动，那可能是官方活动，不是本店活动，可以按步骤要求提交试一下哦。","亲，本店都是薄利多销,没啥利润的,如果您签收后还满意的话，麻烦给个五星评价鼓励一下哦~如果说看到有评价有礼活动，那可能是官方活动，不是本店活动，可以按步骤要求提交试一下哦。",18,"['问题：""好评返现吗"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""有好评返现吗"", 答案：""亲，本店都是薄利多销,没啥利润的,如果您签收后还满意的话，麻烦给个五星评价鼓励一下哦~如果说看到有评价有礼活动，那可能是官方活动，不是本店活动，可以按步骤要求提交试一下哦。""', '问题：""好评返现？？"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""好评返现哦"", 答案：""感谢支持""', '问题：""在吗亲好评返现吗"", 答案：""好的亲""', '问题：""货到了好评返现吗"", 答案：""亲，本店都是薄利多销,没啥利润的,如果您签收后还满意的话，麻烦给个五星评价鼓励一下哦~如果说看到有评价有礼活动，那可能是官方活动，不是本店活动，可以按步骤要求提交试一下哦。""', '问题：""好评返现"", 答案：""感谢支持""', '问题：""好评返现"", 答案：""亲，本店都是薄利多销,没啥利润的,如果您签收后还满意的话，麻烦给个五星评价鼓励一下哦~如果说看到有评价有礼活动，那可能是官方活动，不是本店活动，可以按步骤要求提交试一下哦。""']",,
发什么快递？,"[{""role"":""user"",""content"":""客服  您好，不小心碰到了，麻烦帮我退货处理一下。""},{""role"":""user"",""content"":""发什么快递？""}]",亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~,亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~,18,"['问题：""发什么快递？"", 答案：""极兔、中通、邮政，不指定快递，仓库随机发""', '问题：""发什么快递发什么快递？"", 答案：""亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~""', '问题：""发什么快递？发什么快递？"", 答案：""极兔、中通、邮政，不指定快递，仓库随机发""', '问题：""[发什么快递]"", 答案：""极兔 中通，邮政，不指定快递，仓库随机发的亲""', '问题：""什么快递？"", 答案：""极兔、中通、邮政，不指定快递，仓库随机发""', '问题：""发什么快递？怎么做"", 答案：""亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~""']",,
发什么快递？,"[{""role"":""user"",""content"":""发什么快递？""}]",亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~,亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~,18,"['问题：""发什么快递？"", 答案：""极兔、中通、邮政，不指定快递，仓库随机发""', '问题：""发什么快递发什么快递？"", 答案：""亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~""', '问题：""发什么快递？发什么快递？"", 答案：""极兔、中通、邮政，不指定快递，仓库随机发""', '问题：""[发什么快递]"", 答案：""极兔 中通，邮政，不指定快递，仓库随机发的亲""', '问题：""什么快递？"", 答案：""极兔、中通、邮政，不指定快递，仓库随机发""', '问题：""发什么快递？怎么做"", 答案：""亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~""']",,
发什么快递？,"[{""role"":""user"",""content"":""发什么快递？""}]",亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~,,"18,10","['问题：""发什么快递？"", 答案：""极兔、中通、邮政，不指定快递，仓库随机发""', '问题：""发什么快递？"", 答案：""极兔 中通，邮政，不指定快递，仓库随机发的亲""', '问题：""发什么快递发什么快递？"", 答案：""亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~""', '问题：""发什么快递？发什么快递？"", 答案：""极兔、中通、邮政，不指定快递，仓库随机发""', '问题：""发什么快递？发什么快递？"", 答案：""极兔 中通，邮政，不指定快递，仓库随机发的亲""', '问题：""[发什么快递]"", 答案：""极兔 中通，邮政，不指定快递，仓库随机发的亲""', '问题：""什么快递？"", 答案：""极兔、中通、邮政，不指定快递，仓库随机发""', '问题：""发什么快递？怎么做"", 答案：""亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~""', '问题：""发什么快递？发什么快递？发什么快递？"", 答案：""亲，我们发货使用的是极兔、中通、邮政，不指定快递，仓库随机发哦~""', '问题：""发什么快递？发什么快递？发什么快递？"", 答案：""亲，我们发极兔、中通、邮政，不指定快递，仓库随机发哦~""']",,
发什么快递？,"[{""role"":""user"",""content"":""发什么快递？""},{""role"":""user"",""content"":""发什么快递？""}]",,亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~,"18,8","['问题：""发什么快递？"", 答案：""极兔、中通、邮政，不指定快递，仓库随机发""', '问题：""发什么快递发什么快递？"", 答案：""亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~""', '问题：""发什么快递？发什么快递？"", 答案：""极兔、中通、邮政，不指定快递，仓库随机发""', '问题：""[发什么快递]"", 答案：""极兔 中通，邮政，不指定快递，仓库随机发的亲""', '问题：""什么快递？"", 答案：""极兔、中通、邮政，不指定快递，仓库随机发""', '问题：""发什么快递？怎么做"", 答案：""亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~""']",,
